48	0
48	0
48	0
48	0
48	0
48	0
48	0
48	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
50	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
52	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
58	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
62	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
64	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
66	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
70	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
72	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
76	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
78	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
82	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
84	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
86	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
88	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
90	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
92	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
94	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
96	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
98	0
